app,source_text,suggested_ar,status
erpnext,Allow to Edit Stock UOM Qty for Sales Documents,,unreviewed
erpnext,Allow to Make Quality Inspection after Purchase / Delivery,,unreviewed
erpnext,Allow transferring raw materials even after the Required Quantity is fulfilled,,unreviewed
erpnext,Allowed primary roles are 'Customer' and 'Supplier'. Please select one of these roles only.,,unreviewed
erpnext,Allows to keep aside a specific quantity of inventory for a particular order.,,unreviewed
erpnext,Allows users to submit Purchase Orders with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,unreviewed
erpnext,Allows users to submit Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,unreviewed
erpnext,Allows users to submit Request for Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,unreviewed
erpnext,Allows users to submit Sales Orders with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,unreviewed
erpnext,Allows users to submit Supplier Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,unreviewed
erpnext,Also you can't switch back to FIFO after setting the valuation method to Moving Average for this item.,,unreviewed
erpnext,"Alternatively, you can download the template and fill your data in.",,unreviewed
erpnext,Amount (AED),,unreviewed
erpnext,Amount in party's bank account currency,,unreviewed
erpnext,Amount in transaction currency,,unreviewed
erpnext,Amount in {0},,unreviewed
erpnext,Ampere,,unreviewed
erpnext,Ampere-Hour,,unreviewed
erpnext,Ampere-Minute,,unreviewed
erpnext,Ampere-Second,,unreviewed
erpnext,An Item Group is a way to classify items based on types.,,unreviewed
erpnext,An error has been appeared while reposting item valuation via {0},,unreviewed
erpnext,An error occurred for certain Items while creating Material Requests based on Re-order level. Please rectify these issues :,,unreviewed
erpnext,Analysis Chart,,unreviewed
erpnext,Annual Budget for Account {0} against {1} {2} is {3}. It will be collectively ({4}) exceeded by {5},,unreviewed
erpnext,Annual Budget for Account {0} against {1}: {2} is {3}. It will be exceeded by {4},,unreviewed
erpnext,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' with overlapping fiscal years.,,unreviewed
erpnext,"Another Cost Center Allocation record {0} applicable from {1}, hence this allocation will be applicable upto {2}",,unreviewed
erpnext,Another Payment Request is already processed,,unreviewed
erpnext,"Any one of following filters required: warehouse, Item Code, Item Group",,unreviewed
erpnext,Apparel & Accessories,,unreviewed
erpnext,Applied on each reading.,,unreviewed
erpnext,Applied putaway rules.,,unreviewed
erpnext,Apply Recursion Over (As Per Transaction UOM),,unreviewed
erpnext,Apply Tax Withholding Amount ,,unreviewed
erpnext,Appointment Scheduling has been disabled for this site,,unreviewed
erpnext,Appointment was created. But no lead was found. Please check the email to confirm,,unreviewed
erpnext,Approximately match the description/party name against parties,,unreviewed
erpnext,Are,,unreviewed
erpnext,Are you sure you want to delete {0}?<p>This action will also delete all associated Common Code documents.</p>,,unreviewed
erpnext,Are you sure you want to restart this subscription?,,unreviewed
erpnext,Are you sure you want to revise this budget? The current budget will be cancelled and a new draft will be created.,,unreviewed
erpnext,Arshin,,unreviewed
erpnext,"As there are existing submitted transactions against item {0}, you can not change the value of {1}.",,unreviewed
erpnext,"As there are reserved stock, you cannot disable {0}.",,unreviewed
erpnext,"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.",,unreviewed
erpnext,"As {0} is enabled, you can not enable {1}.",,unreviewed
erpnext,Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift based depreciation,,unreviewed
erpnext,Asset Depreciation Schedule not found for Asset {0} and Finance Book {1},,unreviewed
erpnext,Asset Depreciation Schedule {0} for Asset {1} already exists.,,unreviewed
erpnext,Asset Depreciation Schedule {0} for Asset {1} and Finance Book {2} already exists.,,unreviewed
erpnext,"Asset Depreciation Schedules created/updated:<br>{0}<br><br>Please check, edit if needed, and submit the Asset.",,unreviewed
erpnext,Asset Shift Factor {0} is set as default currently. Please change it first.,,unreviewed
erpnext,Asset cannot be scrapped before the last depreciation entry.,,unreviewed
erpnext,Asset capitalized after Asset Capitalization {0} was submitted,,unreviewed
erpnext,Asset created after being split from Asset {0},,unreviewed
erpnext,Asset issued to Employee {0},,unreviewed
erpnext,Asset out of order due to Asset Repair {0},,unreviewed
erpnext,Asset received at Location {0} and issued to Employee {1},,unreviewed
erpnext,Asset restored after Asset Capitalization {0} was cancelled,,unreviewed
erpnext,Asset transferred to Location {0},,unreviewed
erpnext,Asset updated after being split into Asset {0},,unreviewed
erpnext,Asset updated due to Asset Repair {0} {1}.,,unreviewed
erpnext,Asset {0} does not belong to Item {1},,unreviewed
erpnext,Asset {0} does not belong to the custodian {1},,unreviewed
erpnext,Asset {0} does not belong to the location {1},,unreviewed
erpnext,Asset {0} does not exist,,unreviewed
erpnext,Asset {0} has been updated. Please set the depreciation details if any and submit it.,,unreviewed
erpnext,Asset {0} is in {1} status and cannot be repaired.,,unreviewed
erpnext,Asset {0} is not set to calculate depreciation.,,unreviewed
erpnext,Asset {0} is not submitted. Please submit the asset before proceeding.,,unreviewed
erpnext,Asset {assets_link} created for {item_code},,unreviewed
erpnext,Asset's depreciation schedule updated after Asset Shift Allocation {0},,unreviewed
erpnext,Asset's value adjusted after cancellation of Asset Value Adjustment {0},,unreviewed
erpnext,Asset's value adjusted after submission of Asset Value Adjustment {0},,unreviewed
erpnext,Assets {assets_link} created for {item_code},,unreviewed
erpnext,At Row #{0}: The picked quantity {1} for the item {2} is greater than available stock {3} for the batch {4} in the warehouse {5}. Please restock the item.,,unreviewed
erpnext,At Row #{0}: The picked quantity {1} for the item {2} is greater than available stock {3} in the warehouse {4}.,,unreviewed
erpnext,At least one account with exchange gain or loss is required,,unreviewed
erpnext,At least one item should be entered with negative quantity in return document,,unreviewed
erpnext,At least one of the Selling or Buying must be selected,,unreviewed
erpnext,At least one row is required for a financial report template,,unreviewed
erpnext,At least one warehouse is mandatory,,unreviewed
erpnext,"At row #{0}: the Difference Account must not be a Stock type account, please change the Account Type for the account {1} or select a different account",,unreviewed
erpnext,"At row #{0}: you have selected the Difference Account {1}, which is a Cost of Goods Sold type account. Please select a different account",,unreviewed
erpnext,At row {0}: Batch No is mandatory for Item {1},,unreviewed
erpnext,At row {0}: Parent Row No cannot be set for item {1},,unreviewed
erpnext,At row {0}: Qty is mandatory for the batch {1},,unreviewed
erpnext,At row {0}: Serial No is mandatory for Item {1},,unreviewed
erpnext,At row {0}: Serial and Batch Bundle {1} has already created. Please remove the values from the serial no or batch no fields.,,unreviewed
erpnext,At row {0}: set Parent Row No for item {1},,unreviewed
erpnext,Atleast one raw material for Finished Good Item {0} should be customer provided.,,unreviewed
erpnext,Atmosphere,,unreviewed
erpnext,"Attach a comma separated .csv file with two columns, one for the old name and one for the new name.",,unreviewed
erpnext,Attribute value: {0} must appear only once,,unreviewed
erpnext,Auto Insert Item Price If Missing,,unreviewed
erpnext,Auto Reconciliation has started in the background,,unreviewed
erpnext,Auto Reconciliation of Payments has been disabled. Enable it through {0},,unreviewed
erpnext,Auto Reserve Stock for Sales Order on Purchase,,unreviewed
erpnext,Auto close Opportunity Replied after the no. of days mentioned above,,unreviewed
erpnext,Auto match and set the Party in Bank Transactions,,unreviewed
erpnext,Auto write off precision loss while consolidation,,unreviewed
erpnext,Automotive,,unreviewed
erpnext,B+,,unreviewed
erpnext,B-,,unreviewed
erpnext,BOM No (For Semi-Finished Goods),,unreviewed
erpnext,BOM Update Tool Log with job status maintained,,unreviewed
erpnext,BOM Updation already in progress. Please wait until {0} is complete.,,unreviewed
erpnext,BOM Updation is queued and may take a few minutes. Check {0} for progress.,,unreviewed
erpnext,BOM recursion: {1} cannot be parent or child of {0},,unreviewed
erpnext,BOM {0} not found for the item {1},,unreviewed
erpnext,BOMs Updated,,unreviewed
erpnext,BOMs created successfully,,unreviewed
erpnext,BOMs creation failed,,unreviewed
erpnext,"BOMs creation has been enqueued, kindly check the status after some time",,unreviewed
erpnext,Bank Account {} in Bank Transaction {} is not matching with Bank Account {},,unreviewed
erpnext,Bank Transaction {0} Matched,,unreviewed
erpnext,Bank Transaction {0} added as Journal Entry,,unreviewed
erpnext,Bank Transaction {0} added as Payment Entry,,unreviewed
erpnext,Bank Transaction {0} is already fully reconciled,,unreviewed
erpnext,Bank Transaction {0} updated,,unreviewed
erpnext,Bank/Cash Account {0} doesn't belong to company {1},,unreviewed
erpnext,Barleycorn,,unreviewed
erpnext,Barrel (Oil),,unreviewed
erpnext,Barrel(Beer),,unreviewed
erpnext,"Based on your HR Policy, select your leave allocation period's end date",,unreviewed
erpnext,"Based on your HR Policy, select your leave allocation period's start date",,unreviewed
erpnext,Batch No {0} does not exists,,unreviewed
erpnext,Batch No {0} is linked with Item {1} which has serial no. Please scan serial no instead.,,unreviewed
erpnext,"Batch No {0} is not present in the original {1} {2}, hence you can't return it against the {1} {2}",,unreviewed
erpnext,Batch Nos are created successfully,,unreviewed
erpnext,Batch Qty updated to {0},,unreviewed
erpnext,Batch not created for item {} since it does not have a batch series.,,unreviewed
